# BUSCO version is: 5.5.0 
# The lineage dataset is: bacillales_odb10 (Creation date: 2024-01-08, number of genomes: 412, number of BUSCOs: 450)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
20800at1385	Complete	NODE_27_length_55862_cov_74.121221	51106	54606	-	925.0	830	https://v10-1.orthodb.org/?query=20800at1385	ATP-dependent helicase/deoxyribonuclease subunit B
21204at1385	Complete	NODE_1_length_284620_cov_98.478119	193875	195176	-	431.0	297	https://v10-1.orthodb.org/?query=21204at1385	HD domain
21553at1385	Complete	NODE_3_length_177228_cov_64.729564	93032	94327	+	668.0	378	https://v10-1.orthodb.org/?query=21553at1385	Asparagine--tRNA ligase
22179at1385	Complete	NODE_34_length_45123_cov_83.957775	14771	16309	-	621.5	413	https://v10-1.orthodb.org/?query=22179at1385	Methylglyoxal synthase-like domain
22340at1385	Complete	NODE_11_length_115385_cov_68.112937	74216	76576	+	318.2	303	https://v10-1.orthodb.org/?query=22340at1385	Single-stranded-DNA-specific exonuclease RecJ
22816at1385	Complete	NODE_2_length_245272_cov_72.276469	15097	16659	-	779.0	450	https://v10-1.orthodb.org/?query=22816at1385	Ribonuclease Y
23577at1385	Complete	NODE_2_length_245272_cov_72.276469	93880	95283	-	641.2	388	https://v10-1.orthodb.org/?query=23577at1385	ATP-dependent protease ATPase subunit HslU
23586at1385	Complete	NODE_29_length_55167_cov_125.731583	53395	54894	+	755.1	416	https://v10-1.orthodb.org/?query=23586at1385	Lysine--tRNA ligase
24319at1385	Complete	NODE_8_length_136202_cov_108.675329	112646	113992	-	606.8	379	https://v10-1.orthodb.org/?query=24319at1385	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
25975at1385	Complete	NODE_12_length_110573_cov_70.712092	91510	92781	-	718.3	373	https://v10-1.orthodb.org/?query=25975at1385	Isocitrate dehydrogenase 
26056at1385	Complete	NODE_11_length_115385_cov_68.112937	66123	67268	+	694.4	347	https://v10-1.orthodb.org/?query=26056at1385	tRNA-guanine(15) transglycosylase-like
26201at1385	Complete	NODE_21_length_63332_cov_124.278948	2313	3677	-	575.7	358	https://v10-1.orthodb.org/?query=26201at1385	DNA helicase, DnaB-like, N-terminal
26499at1385	Complete	NODE_37_length_43654_cov_62.808803	38621	39946	+	539.4	347	https://v10-1.orthodb.org/?query=26499at1385	Diaminopimelate decarboxylase
26823at1385	Complete	NODE_3_length_177228_cov_64.729564	49033	50343	+	624.7	367	https://v10-1.orthodb.org/?query=26823at1385	GTPase Der
27004at1385	Complete	NODE_12_length_110573_cov_70.712092	109098	110417	-	462.5	341	https://v10-1.orthodb.org/?query=27004at1385	Winged helix-like DNA-binding domain superfamily
27260at1385	Complete	NODE_5_length_162701_cov_71.739280	158191	159402	+	593.2	351	https://v10-1.orthodb.org/?query=27260at1385	Argininosuccinate synthase
27564at1385	Complete	NODE_11_length_115385_cov_68.112937	13800	15062	+	680.8	351	https://v10-1.orthodb.org/?query=27564at1385	Zinc finger, ClpX C4-type
27689at1385	Complete	NODE_21_length_63332_cov_124.278948	49521	50900	-	515.6	357	https://v10-1.orthodb.org/?query=27689at1385	tRNA modification GTPase MnmE
28425at1385	Complete	NODE_2_length_245272_cov_72.276469	110445	111785	-	746.0	408	https://v10-1.orthodb.org/?query=28425at1385	Signal recognition particle protein
28903at1385	Complete	NODE_5_length_162701_cov_71.739280	43902	45104	+	594.3	333	https://v10-1.orthodb.org/?query=28903at1385	S-adenosylmethionine synthetase
30363at1385	Complete	NODE_32_length_48489_cov_89.037577	33317	34771	-	253.4	250	https://v10-1.orthodb.org/?query=30363at1385	Tetratricopeptide repeat
30838at1385	Complete	NODE_5_length_162701_cov_71.739280	123048	124346	+	439.4	320	https://v10-1.orthodb.org/?query=30838at1385	UDP-N-acetylmuramate--L-alanine ligase
31436at1385	Complete	NODE_24_length_59682_cov_130.117631	26782	27972	-	674.0	345	https://v10-1.orthodb.org/?query=31436at1385	Elongation factor Tu
31726at1385	Complete	NODE_21_length_63332_cov_124.278948	276	1568	-	622.1	362	https://v10-1.orthodb.org/?query=31726at1385	adenylosuccinate synthase
31976at1385	Complete	NODE_1_length_284620_cov_98.478119	137477	138760	-	663.6	350	https://v10-1.orthodb.org/?query=31976at1385	Transcription termination factor Rho
32106at1385	Complete	NODE_24_length_59682_cov_130.117631	15033	16328	-	549.8	356	https://v10-1.orthodb.org/?query=32106at1385	Protein translocase subunit SecY
32146at1385	Complete	NODE_21_length_63332_cov_124.278948	54026	55366	+	615.8	341	https://v10-1.orthodb.org/?query=32146at1385	Chromosomal replication initiator protein DnaA
32226at1385	Complete	NODE_11_length_115385_cov_68.112937	82187	83461	+	530.0	345	https://v10-1.orthodb.org/?query=32226at1385	Histidine--tRNA ligase
32361at1385	Complete	NODE_31_length_51624_cov_75.936978	19636	20901	+	533.8	317	https://v10-1.orthodb.org/?query=32361at1385	Pyridoxal phosphate-dependent transferase
32469at1385	Complete	NODE_2_length_245272_cov_72.276469	186150	187472	-	424.7	325	https://v10-1.orthodb.org/?query=32469at1385	Cell division protein FtsA
32858at1385	Complete	NODE_5_length_162701_cov_71.739280	145583	146788	+	404.6	306	https://v10-1.orthodb.org/?query=32858at1385	THUMP domain
33015at1385	Complete	NODE_1_length_284620_cov_98.478119	123268	124515	-	617.7	329	https://v10-1.orthodb.org/?query=33015at1385	Serine hydroxymethyltransferase
33464at1385	Complete	NODE_3_length_177228_cov_64.729564	109320	110477	+	428.7	300	https://v10-1.orthodb.org/?query=33464at1385	THUMP domain
33523at1385	Complete	NODE_13_length_107674_cov_210.936805	72393	73685	+	713.6	379	https://v10-1.orthodb.org/?query=33523at1385	Enolase
33664at1385	Complete	NODE_2_length_245272_cov_72.276469	25653	26933	-	447.5	348	https://v10-1.orthodb.org/?query=33664at1385	Peptidase M16, C-terminal
34686at1385	Complete	NODE_2_length_245272_cov_72.276469	36942	37982	-	528.5	321	https://v10-1.orthodb.org/?query=34686at1385	Aspartate-semialdehyde dehydrogenase
35542at1385	Complete	NODE_2_length_245272_cov_72.276469	130871	132817	-	499.6	422	https://v10-1.orthodb.org/?query=35542at1385	Protein kinase domain
36249at1385	Complete	NODE_2_length_245272_cov_72.276469	24370	25656	-	498.2	335	https://v10-1.orthodb.org/?query=36249at1385	Peptidase M16, C-terminal
36257at1385	Complete	NODE_43_length_28370_cov_119.979587	2970	4346	+	135.8	294	https://v10-1.orthodb.org/?query=36257at1385	Regulatory protein YycH
37441at1385	Complete	NODE_13_length_107674_cov_210.936805	68859	70043	+	515.8	330	https://v10-1.orthodb.org/?query=37441at1385	Phosphoglycerate kinase
37870at1385	Complete	NODE_11_length_115385_cov_68.112937	63841	64845	+	517.6	284	https://v10-1.orthodb.org/?query=37870at1385	Holliday junction ATP-dependent DNA helicase RuvB
38293at1385	Complete	NODE_5_length_162701_cov_71.739280	95904	97121	-	476.6	318	https://v10-1.orthodb.org/?query=38293at1385	FAD-dependent oxidoreductase 2, FAD binding domain
39094at1385	Complete	NODE_29_length_55167_cov_125.731583	21021	22391	+	563.3	381	https://v10-1.orthodb.org/?query=39094at1385	Hexapeptide repeat
39111at1385	Complete	NODE_2_length_245272_cov_72.276469	146116	147828	+	567.0	429	https://v10-1.orthodb.org/?query=39111at1385	NFACT, RNA-binding domain
39338at1385	Complete	NODE_21_length_63332_cov_124.278948	37853	38953	-	584.8	321	https://v10-1.orthodb.org/?query=39338at1385	Ribosome-binding ATPase YchF
39564at1385	Complete	NODE_24_length_59682_cov_130.117631	48356	49807	-	599.2	387	https://v10-1.orthodb.org/?query=39564at1385	Glutamate--tRNA ligase
39697at1385	Complete	NODE_34_length_45123_cov_83.957775	13487	14755	-	399.6	315	https://v10-1.orthodb.org/?query=39697at1385	Phosphoribosylamine--glycine ligase
40122at1385	Complete	NODE_4_length_167759_cov_77.424081	55807	57027	-	642.1	357	https://v10-1.orthodb.org/?query=40122at1385	Cysteine desulfurase
40212at1385	Complete	NODE_24_length_59682_cov_130.117631	57279	58370	-	428.9	278	https://v10-1.orthodb.org/?query=40212at1385	ATP:guanido phosphotransferase
40403at1385	Complete	NODE_12_length_110573_cov_70.712092	92946	94064	-	519.6	324	https://v10-1.orthodb.org/?query=40403at1385	Citrate synthase
40710at1385	Complete	NODE_2_length_245272_cov_72.276469	161299	162585	-	547.9	331	https://v10-1.orthodb.org/?query=40710at1385	Dihydroorotase
41347at1385	Complete	NODE_11_length_115385_cov_68.112937	45892	47178	+	553.8	355	https://v10-1.orthodb.org/?query=41347at1385	GTPase Obg
42103at1385	Complete	NODE_16_length_85683_cov_81.359474	35754	36815	+	460.7	284	https://v10-1.orthodb.org/?query=42103at1385	Uroporphyrinogen decarboxylase
42183at1385	Complete	NODE_11_length_115385_cov_68.112937	20712	22079	+	521.7	353	https://v10-1.orthodb.org/?query=42183at1385	Glutamyl-tRNA reductase
42630at1385	Complete	NODE_28_length_55587_cov_60.025175	34338	35612	+	529.1	344	https://v10-1.orthodb.org/?query=42630at1385	2-oxoacid dehydrogenase acyltransferase, catalytic domain
43413at1385	Complete	NODE_32_length_48489_cov_89.037577	27709	28704	-	367.0	239	https://v10-1.orthodb.org/?query=43413at1385	Gluconeogenesis factor
44636at1385	Complete	NODE_28_length_55587_cov_60.025175	33332	34315	+	536.3	292	https://v10-1.orthodb.org/?query=44636at1385	Transketolase, C-terminal domain
44678at1385	Complete	NODE_2_length_245272_cov_72.276469	160208	161302	-	481.0	296	https://v10-1.orthodb.org/?query=44678at1385	Carbamoyl-phosphate synthase, small subunit
45071at1385	Complete	NODE_2_length_245272_cov_72.276469	102371	103528	-	692.9	363	https://v10-1.orthodb.org/?query=45071at1385	Succinate--CoA ligase 
45953at1385	Complete	NODE_10_length_134281_cov_67.927667	52121	53080	+	401.1	224	https://v10-1.orthodb.org/?query=45953at1385	PhoH-like protein
47271at1385	Complete	NODE_3_length_177228_cov_64.729564	70187	71302	+	287.8	264	https://v10-1.orthodb.org/?query=47271at1385	Prephenate dehydrogenase
47701at1385	Complete	NODE_2_length_245272_cov_72.276469	125856	127517	-	534.4	412	https://v10-1.orthodb.org/?query=47701at1385	DhaL domain
48130at1385	Complete	NODE_3_length_177228_cov_64.729564	82341	83474	+	396.8	306	https://v10-1.orthodb.org/?query=48130at1385	N-acetyl-alpha-D-glucosaminyl L-malate synthase
48726at1385	Complete	NODE_3_length_177228_cov_64.729564	44738	45886	+	400.5	297	https://v10-1.orthodb.org/?query=48726at1385	S1 domain
48814at1385	Complete	NODE_32_length_48489_cov_89.037577	26736	27686	-	378.8	254	https://v10-1.orthodb.org/?query=48814at1385	Sporulation regulator WhiA
48893at1385	Complete	NODE_38_length_43238_cov_89.874048	27989	29149	-	657.4	375	https://v10-1.orthodb.org/?query=48893at1385	Epoxyqueuosine reductase
48905at1385	Complete	NODE_2_length_245272_cov_72.276469	19496	20746	-	352.9	264	https://v10-1.orthodb.org/?query=48905at1385	CinA, C-terminal
49074at1385	Complete	NODE_37_length_43654_cov_62.808803	28462	29646	+	496.1	309	https://v10-1.orthodb.org/?query=49074at1385	Phosphopentomutase
50104at1385	Complete	NODE_24_length_59682_cov_130.117631	53382	54815	-	626.4	377	https://v10-1.orthodb.org/?query=50104at1385	Ribosomal protein S5 domain 2-type fold
50377at1385	Complete	NODE_2_length_245272_cov_72.276469	18277	19323	-	513.2	266	https://v10-1.orthodb.org/?query=50377at1385	Protein RecA
51060at1385	Complete	NODE_10_length_134281_cov_67.927667	42817	43752	+	273.0	225	https://v10-1.orthodb.org/?query=51060at1385	Ribosomal protein L11 methyltransferase
51080at1385	Complete	NODE_35_length_44551_cov_76.336322	8463	9440	-	530.2	278	https://v10-1.orthodb.org/?query=51080at1385	Transketolase, C-terminal domain
51186at1385	Complete	NODE_11_length_115385_cov_68.112937	12254	13528	+	506.6	366	https://v10-1.orthodb.org/?query=51186at1385	Trigger factor
51730at1385	Complete	NODE_2_length_245272_cov_72.276469	193688	195043	-	381.5	310	https://v10-1.orthodb.org/?query=51730at1385	Mur ligase, C-terminal
52440at1385	Complete	NODE_2_length_245272_cov_72.276469	50576	51691	-	557.2	316	https://v10-1.orthodb.org/?query=52440at1385	Transcription termination/antitermination protein NusA
52828at1385	Complete	NODE_12_length_110573_cov_70.712092	98385	99344	-	430.4	249	https://v10-1.orthodb.org/?query=52828at1385	ATP-dependent 6-phosphofructokinase
52832at1385	Complete	NODE_34_length_45123_cov_83.957775	16890	17930	-	422.7	269	https://v10-1.orthodb.org/?query=52832at1385	Phosphoribosylformylglycinamidine cyclo-ligase
52960at1385	Complete	NODE_28_length_55587_cov_60.025175	30880	32304	+	548.4	403	https://v10-1.orthodb.org/?query=52960at1385	Dihydrolipoyl dehydrogenase
54311at1385	Complete	NODE_32_length_48489_cov_89.037577	28664	29551	-	384.9	236	https://v10-1.orthodb.org/?query=54311at1385	RapZ-like family
54529at1385	Complete	NODE_29_length_55167_cov_125.731583	39597	41015	+	201.0	242	https://v10-1.orthodb.org/?query=54529at1385	tRNA(Ile)-lysidine synthase
56066at1385	Complete	NODE_35_length_44551_cov_76.336322	9444	10559	-	540.7	284	https://v10-1.orthodb.org/?query=56066at1385	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
56281at1385	Complete	NODE_10_length_134281_cov_67.927667	20988	22088	+	436.9	312	https://v10-1.orthodb.org/?query=56281at1385	GTP binding domain
56901at1385	Complete	NODE_21_length_63332_cov_124.278948	57053	58165	+	462.8	290	https://v10-1.orthodb.org/?query=56901at1385	DNA-binding, RecF
57496at1385	Complete	NODE_11_length_115385_cov_68.112937	65068	66096	+	478.4	288	https://v10-1.orthodb.org/?query=57496at1385	S-adenosylmethionine:tRNA ribosyltransferase-isomerase,  QueA
59397at1385	Complete	NODE_27_length_55862_cov_74.121221	17214	18062	-	278.8	225	https://v10-1.orthodb.org/?query=59397at1385	Conserved virulence factor B-like, winged helix domain
60136at1385	Complete	NODE_24_length_59682_cov_130.117631	22710	23543	-	476.1	249	https://v10-1.orthodb.org/?query=60136at1385	Ribosomal protein L2
60199at1385	Complete	NODE_1_length_284620_cov_98.478119	131163	132233	-	514.4	330	https://v10-1.orthodb.org/?query=60199at1385	Peptide chain release factor 1
60213at1385	Complete	NODE_11_length_115385_cov_68.112937	89465	90580	+	485.4	302	https://v10-1.orthodb.org/?query=60213at1385	tRNA-specific 2-thiouridylase
60529at1385	Complete	NODE_35_length_44551_cov_76.336322	7020	8348	-	726.1	419	https://v10-1.orthodb.org/?query=60529at1385	2-oxoacid dehydrogenase acyltransferase, catalytic domain
60663at1385	Complete	NODE_28_length_55587_cov_60.025175	32326	33318	+	494.6	282	https://v10-1.orthodb.org/?query=60663at1385	Dehydrogenase, E1 component
60681at1385	Complete	NODE_10_length_134281_cov_67.927667	41665	42792	+	452.9	295	https://v10-1.orthodb.org/?query=60681at1385	Chaperone protein DnaJ
61609at1385	Complete	NODE_2_length_245272_cov_72.276469	203949	205568	-	339.5	354	https://v10-1.orthodb.org/?query=61609at1385	Bacillithiol biosynthesis BshC
61818at1385	Complete	NODE_25_length_59361_cov_103.024804	35995	37386	-	337.2	299	https://v10-1.orthodb.org/?query=61818at1385	Helicase/UvrB, N-terminal
61822at1385	Complete	NODE_4_length_167759_cov_77.424081	57027	58340	-	512.3	347	https://v10-1.orthodb.org/?query=61822at1385	SUF system FeS cluster assembly, SufBD
61968at1385	Complete	NODE_12_length_110573_cov_70.712092	41286	42320	-	506.5	286	https://v10-1.orthodb.org/?query=61968at1385	Phenylalanine--tRNA ligase alpha subunit
62379at1385	Complete	NODE_10_length_134281_cov_67.927667	37941	38972	+	286.0	249	https://v10-1.orthodb.org/?query=62379at1385	Heat-inducible transcription repressor HrcA
62560at1385	Complete	NODE_2_length_245272_cov_72.276469	101440	102342	-	547.0	280	https://v10-1.orthodb.org/?query=62560at1385	ATP-citrate lyase/succinyl-CoA ligase
62842at1385	Complete	NODE_13_length_107674_cov_210.936805	66466	67488	+	281.8	254	https://v10-1.orthodb.org/?query=62842at1385	Winged helix-like DNA-binding domain superfamily
63007at1385	Complete	NODE_16_length_85683_cov_81.359474	36887	37819	+	332.6	231	https://v10-1.orthodb.org/?query=63007at1385	Ferrochelatase
63057at1385	Complete	NODE_2_length_245272_cov_72.276469	120411	121412	-	402.3	254	https://v10-1.orthodb.org/?query=63057at1385	Phosphate acyltransferase
63947at1385	Complete	NODE_3_length_177228_cov_64.729564	50361	51398	+	377.8	266	https://v10-1.orthodb.org/?query=63947at1385	glycerol-3-phosphate dehydrogenase
64028at1385	Complete	NODE_12_length_110573_cov_70.712092	100490	101362	-	322.1	223	https://v10-1.orthodb.org/?query=64028at1385	Acetyl-CoA carboxylase
64355at1385	Complete	NODE_11_length_115385_cov_68.112937	24669	25643	+	517.7	296	https://v10-1.orthodb.org/?query=64355at1385	Delta-aminolevulinic acid dehydratase
65159at1385	Complete	NODE_2_length_245272_cov_72.276469	58675	59937	-	370.2	300	https://v10-1.orthodb.org/?query=65159at1385	PDZ domain
66284at1385	Complete	NODE_10_length_134281_cov_67.927667	66247	67362	+	578.3	275	https://v10-1.orthodb.org/?query=66284at1385	RNA polymerase sigma-70
66466at1385	Complete	NODE_25_length_59361_cov_103.024804	20964	21947	-	534.6	271	https://v10-1.orthodb.org/?query=66466at1385	Peptide chain release factor 2
66939at1385	Complete	NODE_24_length_59682_cov_130.117631	10980	11924	-	489.3	270	https://v10-1.orthodb.org/?query=66939at1385	DNA-directed RNA polymerase, insert domain
67582at1385	Complete	NODE_12_length_110573_cov_70.712092	99528	100505	-	474.0	278	https://v10-1.orthodb.org/?query=67582at1385	Acetyl-CoA carboxylase, alpha subunit
68235at1385	Complete	NODE_11_length_115385_cov_68.112937	86392	87657	-	519.3	350	https://v10-1.orthodb.org/?query=68235at1385	AAA C-terminal domain
68892at1385	Complete	NODE_55_length_10912_cov_91.862853	6984	7916	+	398.1	251	https://v10-1.orthodb.org/?query=68892at1385	HPr kinase/phosphorylase
70235at1385	Complete	NODE_2_length_245272_cov_72.276469	64316	65197	-	404.5	251	https://v10-1.orthodb.org/?query=70235at1385	Elongation factor Ts
70794at1385	Complete	NODE_10_length_134281_cov_67.927667	56630	57535	+	431.2	255	https://v10-1.orthodb.org/?query=70794at1385	GTPase Era
70936at1385	Complete	NODE_2_length_245272_cov_72.276469	163628	164962	-	382.4	306	https://v10-1.orthodb.org/?query=70936at1385	Uracil permease
72656at1385	Complete	NODE_42_length_30993_cov_96.737087	27124	28146	-	419.3	259	https://v10-1.orthodb.org/?query=72656at1385	tRNA N6-adenosine threonylcarbamoyltransferase
73296at1385	Complete	NODE_29_length_55167_cov_125.731583	6324	7151	+	346.9	211	https://v10-1.orthodb.org/?query=73296at1385	Stage 0 sporulation protein
