locus_tag	ftype	length_bp	gene	EC_number	COG	product
AJKAJODB_00033	CDS	642	ydjZ_1		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
AJKAJODB_00034	CDS	846				hypothetical protein
AJKAJODB_00035	CDS	231				hypothetical protein
AJKAJODB_00036	CDS	1932	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase 1
AJKAJODB_00037	CDS	783	ppaX_1	3.6.1.1		Pyrophosphatase PpaX
AJKAJODB_00038	CDS	1782	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
AJKAJODB_00039	CDS	726	lytR		COG3279	Sensory transduction protein LytR
AJKAJODB_00040	CDS	441	lrgA		COG1380	Antiholin-like protein LrgA
AJKAJODB_00041	CDS	696	lrgB		COG1346	Antiholin-like protein LrgB
AJKAJODB_00042	CDS	630				hypothetical protein
AJKAJODB_00043	CDS	504	infC			Translation initiation factor IF-3
AJKAJODB_00044	CDS	201	rpmI		COG0291	50S ribosomal protein L35
AJKAJODB_00045	CDS	360	rplT		COG0292	50S ribosomal protein L20
AJKAJODB_00046	CDS	270				hypothetical protein
AJKAJODB_00047	CDS	393	ysdB			Sigma-w pathway protein YsdB
AJKAJODB_00048	CDS	1086	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
AJKAJODB_00049	CDS	327	abnA_1	3.2.1.99	COG3507	Extracellular endo-alpha-(1->5)-L-arabinanase 1
AJKAJODB_00050	CDS	528	abnA_2	3.2.1.99	COG3507	Extracellular endo-alpha-(1->5)-L-arabinanase 1
AJKAJODB_00051	CDS	1491	araA	5.3.1.4		L-arabinose isomerase
AJKAJODB_00052	CDS	1683	araB	2.7.1.16	COG1069	Ribulokinase
AJKAJODB_00053	CDS	690	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase
AJKAJODB_00054	CDS	810	araL	3.1.3.23	COG0647	Sugar-phosphatase AraL
AJKAJODB_00055	CDS	1185	egsA	1.1.1.261	COG0371	Glycerol-1-phosphate dehydrogenase [NAD(P)+]
AJKAJODB_00056	CDS	1302	araN		COG1653	putative arabinose-binding protein
AJKAJODB_00057	CDS	942	araP		COG1175	L-arabinose transport system permease protein AraP
AJKAJODB_00058	CDS	846	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
AJKAJODB_00059	CDS	1503	abfA	3.2.1.55	COG3534	Intracellular exo-alpha-(1->5)-L-arabinofuranosidase 1
AJKAJODB_00060	CDS	1797	cstA		COG1966	Peptide transporter CstA
AJKAJODB_00061	CDS	159				hypothetical protein
AJKAJODB_00062	CDS	243				hypothetical protein
AJKAJODB_00063	CDS	1335	lutA_1			Lactate utilization protein A
AJKAJODB_00064	CDS	1413		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
AJKAJODB_00065	CDS	1107	cdaR_1		COG3835	Carbohydrate diacid regulator
AJKAJODB_00066	CDS	216	sspI			Small, acid-soluble spore protein I
AJKAJODB_00067	CDS	747	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
AJKAJODB_00068	CDS	1035	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
AJKAJODB_00069	CDS	2415	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
AJKAJODB_00070	CDS	939	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
AJKAJODB_00071	CDS	258	zapA		COG3027	Cell division protein ZapA
AJKAJODB_00072	CDS	534				hypothetical protein
AJKAJODB_00073	CDS	1713	polX		COG1387	DNA polymerase/3'-5' exonuclease PolX
AJKAJODB_00074	CDS	2358	mutS2	3.1.-.-		Endonuclease MutS2
AJKAJODB_00075	CDS	405				hypothetical protein
AJKAJODB_00076	CDS	1683	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
AJKAJODB_00077	CDS	585	fadR			Fatty acid metabolism regulator protein
AJKAJODB_00078	CDS	777	fadB	4.2.1.17	COG1024	putative enoyl-CoA hydratase
AJKAJODB_00079	CDS	774	etfB		COG2086	Electron transfer flavoprotein subunit beta
AJKAJODB_00080	CDS	978	etfA		COG2025	Electron transfer flavoprotein subunit alpha
AJKAJODB_00081	CDS	216				hypothetical protein
AJKAJODB_00082	CDS	1488	abf2	3.2.1.55	COG3534	Intracellular exo-alpha-L-arabinofuranosidase 2
AJKAJODB_00083	CDS	315	trxA		COG0526	Thioredoxin
AJKAJODB_00084	CDS	1773	uvrC_1		COG0322	UvrABC system protein C
AJKAJODB_00085	CDS	1227	lysC_1	2.7.2.4	COG0527	Aspartokinase 2
AJKAJODB_00086	CDS	447	yslB			putative protein YslB
AJKAJODB_00087	CDS	609	sdhC		COG2009	Succinate dehydrogenase cytochrome b558 subunit
AJKAJODB_00088	CDS	1761	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
AJKAJODB_00089	CDS	762	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
AJKAJODB_00090	CDS	444				hypothetical protein
AJKAJODB_00091	CDS	225	gerE		COG2771	Spore germination protein GerE
AJKAJODB_00092	CDS	441	yusO_1			putative HTH-type transcriptional regulator YusO
AJKAJODB_00093	CDS	816	racE	5.1.1.3	COG0796	Glutamate racemase 1
AJKAJODB_00094	CDS	1101	gerM		COG5401	Spore germination protein GerM
AJKAJODB_00095	CDS	738	rph	2.7.7.56	COG0689	Ribonuclease PH
AJKAJODB_00096	CDS	588		3.6.1.66		dITP/XTP pyrophosphatase
AJKAJODB_00097	CDS	510		3.1.4.-		Putative metallophosphoesterase MG207 
AJKAJODB_00098	tRNA	76				tRNA-Arg(tct)
AJKAJODB_00099	CDS	1020	xerC_1			Tyrosine recombinase XerC
AJKAJODB_00100	CDS	177				hypothetical protein
AJKAJODB_00101	CDS	1092				hypothetical protein
AJKAJODB_00102	CDS	3216				hypothetical protein
AJKAJODB_00103	CDS	1431	hsdM	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
AJKAJODB_00104	CDS	1320				hypothetical protein
AJKAJODB_00105	CDS	426	bin3			Putative transposon Tn552 DNA-invertase bin3
AJKAJODB_00106	tRNA	77				tRNA-Ile(gat)
AJKAJODB_00107	tRNA	76				tRNA-Ala(tgc)
AJKAJODB_00108	CDS	585	wapA_1	3.1.-.-		tRNA(Glu)-specific nuclease WapA
AJKAJODB_00109	CDS	360	wapI_1			Immunity protein WapI
AJKAJODB_00110	rRNA	79				5S ribosomal RNA (partial)
AJKAJODB_00111	CDS	168				hypothetical protein
AJKAJODB_00112	rRNA	89				5S ribosomal RNA (partial)
AJKAJODB_00113	tRNA	75				tRNA-Asn(gtt)
AJKAJODB_00114	tRNA	73				tRNA-Thr(ggt)
AJKAJODB_00115	tRNA	75				tRNA-Gly(gcc)
AJKAJODB_00116	tRNA	77				tRNA-Arg(acg)
AJKAJODB_00117	tRNA	77				tRNA-Pro(tgg)
AJKAJODB_00118	rRNA	439				16S ribosomal RNA (partial)
AJKAJODB_00119	rRNA	67				5S ribosomal RNA (partial)
AJKAJODB_00120	rRNA	111				5S ribosomal RNA
AJKAJODB_00121	tRNA	76				tRNA-Val(tac)
AJKAJODB_00122	tRNA	76				tRNA-Thr(tgt)
AJKAJODB_00123	tRNA	76				tRNA-Lys(ttt)
AJKAJODB_00124	tRNA	83				tRNA-Leu(tag)
AJKAJODB_00125	tRNA	75				tRNA-Gly(gcc)
AJKAJODB_00126	tRNA	77				tRNA-Pro(tgg)
AJKAJODB_00127	tRNA	77				tRNA-Arg(acg)
AJKAJODB_00128	tRNA	86				tRNA-Leu(taa)
AJKAJODB_00129	rRNA	89				5S ribosomal RNA (partial)
AJKAJODB_00130	tRNA	76				tRNA-Ala(tgc)
AJKAJODB_00131	tRNA	77				tRNA-Pro(tgg)
AJKAJODB_00132	rRNA	509				16S ribosomal RNA (partial)
AJKAJODB_00133	CDS	579	thiT		COG3859	Thiamine transporter ThiT
AJKAJODB_00134	CDS	522				hypothetical protein
AJKAJODB_00135	CDS	1530	yqiK		COG2268	Inner membrane protein YqiK
AJKAJODB_00136	CDS	525	yuaF			putative membrane protein YuaF
AJKAJODB_00137	CDS	489				hypothetical protein
AJKAJODB_00138	CDS	579	yuaD			Putative metal-sulfur cluster biosynthesis proteins YuaD
AJKAJODB_00139	CDS	1209	gbsB	1.1.1.-	COG1454	Choline dehydrogenase
AJKAJODB_00140	CDS	1473	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
AJKAJODB_00141	CDS	543	opcR_1		COG1510	HTH-type transcriptional repressor OpcR
AJKAJODB_00142	CDS	546	bslA			Biofilm-surface layer protein A
AJKAJODB_00143	CDS	669	ktrA_1		COG0569	Ktr system potassium uptake protein A
AJKAJODB_00144	CDS	1338	ktrB_1		COG0168	Ktr system potassium uptake protein B
AJKAJODB_00145	CDS	264				hypothetical protein
AJKAJODB_00146	CDS	1035	lytG	3.2.1.-	COG1705	Exo-glucosaminidase LytG
AJKAJODB_00147	CDS	1536				hypothetical protein
AJKAJODB_00148	CDS	486	cdoA	1.13.11.20		Cysteine dioxygenase
AJKAJODB_00149	tRNA	73				tRNA-Ala(ggc)
AJKAJODB_00150	CDS	831	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
AJKAJODB_00151	CDS	1167				hypothetical protein
AJKAJODB_00152	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
AJKAJODB_00153	CDS	1275	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
AJKAJODB_00154	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
AJKAJODB_00155	CDS	1458	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
AJKAJODB_00156	CDS	777	srlR_1		COG1349	Glucitol operon repressor
AJKAJODB_00157	CDS	2070	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
AJKAJODB_00158	CDS	1428	mcpB_1		COG0840	Methyl-accepting chemotaxis protein McpB
AJKAJODB_00159	CDS	537	mcpA_1		COG0840	Methyl-accepting chemotaxis protein McpA
AJKAJODB_00160	CDS	1986	mcpA_2		COG0840	Methyl-accepting chemotaxis protein McpA
AJKAJODB_00161	CDS	1569	mcpA_3		COG0840	Methyl-accepting chemotaxis protein McpA
AJKAJODB_00162	CDS	360	mcpA_4		COG0840	Methyl-accepting chemotaxis protein McpA
AJKAJODB_00163	CDS	1989	mcpB_2		COG0840	Methyl-accepting chemotaxis protein McpB
AJKAJODB_00164	CDS	738	tgl	2.3.2.13		Protein-glutamine gamma-glutamyltransferase
AJKAJODB_00165	CDS	255				hypothetical protein
AJKAJODB_00166	CDS	399				hypothetical protein
AJKAJODB_00167	CDS	1665	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
AJKAJODB_00168	CDS	1290				hypothetical protein
AJKAJODB_00169	CDS	678				hypothetical protein
AJKAJODB_00170	CDS	264				hypothetical protein
AJKAJODB_00171	CDS	333	mstX		COG1226	Protein mistic
AJKAJODB_00172	CDS	987				hypothetical protein
AJKAJODB_00173	CDS	405				hypothetical protein
AJKAJODB_00174	CDS	429				hypothetical protein
AJKAJODB_00175	CDS	1353	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
AJKAJODB_00176	CDS	1173	adh2_1	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
AJKAJODB_00177	CDS	1164	adh2_2	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
AJKAJODB_00178	CDS	237				hypothetical protein
AJKAJODB_00179	CDS	393	yugI		COG1098	General stress protein 13
AJKAJODB_00180	CDS	1083	dapX_1	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
AJKAJODB_00181	CDS	501				hypothetical protein
AJKAJODB_00182	CDS	822	mhpC	3.7.1.14		2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
AJKAJODB_00183	CDS	261				hypothetical protein
AJKAJODB_00184	CDS	1164	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
AJKAJODB_00185	CDS	1287	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
AJKAJODB_00186	CDS	387	kapB			Kinase-associated lipoprotein B
AJKAJODB_00187	CDS	618				hypothetical protein
AJKAJODB_00188	CDS	204				hypothetical protein
AJKAJODB_00189	CDS	1059	sbnD			Staphyloferrin B transporter
AJKAJODB_00190	CDS	1875	pbpD		COG0744	Penicillin-binding protein 4
AJKAJODB_00191	CDS	414				hypothetical protein
AJKAJODB_00192	CDS	558				hypothetical protein
AJKAJODB_00193	CDS	1602	dcuS_1	2.7.13.3	COG3290	Sensor histidine kinase DcuS
AJKAJODB_00194	CDS	708	dcuR_1		COG4565	Transcriptional regulatory protein DcuR
AJKAJODB_00195	CDS	1125	tmpC		COG1744	Membrane lipoprotein TmpC
AJKAJODB_00196	CDS	1533	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
AJKAJODB_00197	CDS	1047				hypothetical protein
AJKAJODB_00198	CDS	960				hypothetical protein
AJKAJODB_00199	CDS	1347	cimH_1		COG3493	Citrate/malate transporter
AJKAJODB_00200	CDS	216				hypothetical protein
AJKAJODB_00201	CDS	2406	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
AJKAJODB_00202	CDS	432	mrpB		COG2111	Na(+)/H(+) antiporter subunit B
AJKAJODB_00203	CDS	342	mrpC		COG1006	Na(+)/H(+) antiporter subunit C
AJKAJODB_00204	CDS	1491	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
AJKAJODB_00205	CDS	477	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
AJKAJODB_00206	CDS	285	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
AJKAJODB_00207	CDS	375	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
AJKAJODB_00208	CDS	384		3.1.2.-	COG2050	Putative esterase
AJKAJODB_00209	CDS	645	comA		COG2197	Transcriptional regulatory protein ComA
AJKAJODB_00210	CDS	2313	comP	2.7.13.3		Sensor histidine kinase ComP
AJKAJODB_00211	CDS	222				hypothetical protein
AJKAJODB_00212	CDS	948				hypothetical protein
AJKAJODB_00213	CDS	141	degQ			Degradation enzyme regulation protein DegQ
AJKAJODB_00214	CDS	369				hypothetical protein
AJKAJODB_00215	CDS	1230	cdgJ	3.1.4.52	COG3434	Cyclic di-GMP phosphodiesterase CdgJ
AJKAJODB_00216	CDS	1473	pncB	6.3.4.21		Nicotinate phosphoribosyltransferase
AJKAJODB_00217	CDS	552				hypothetical protein
AJKAJODB_00218	CDS	399	yueI		COG5506	putative protein YueI
AJKAJODB_00219	CDS	249				hypothetical protein
AJKAJODB_00220	CDS	222	gerPF_1			putative spore germination protein GerPF
AJKAJODB_00221	CDS	1110			COG0628	Putative transport protein
AJKAJODB_00222	CDS	390				hypothetical protein
AJKAJODB_00223	CDS	531				hypothetical protein
AJKAJODB_00224	CDS	732	yueD	1.1.1.320		Benzil reductase ((S)-benzoin forming)
AJKAJODB_00225	CDS	507				hypothetical protein
AJKAJODB_00226	CDS	3180	yueB		COG1511	ESX secretion system protein YueB
AJKAJODB_00227	CDS	4521	eccC		COG1674	ESX secretion system protein EccC
AJKAJODB_00228	CDS	1356	essB		COG4499	Type VII secretion system protein EssB
AJKAJODB_00229	CDS	240	yukD		COG5417	ESX secretion system protein YukD
AJKAJODB_00230	CDS	294	yukE		COG4842	Protein YukE
AJKAJODB_00231	CDS	1230	putR_1			Proline-responsive transcriptional activator PutR
AJKAJODB_00232	CDS	1137	ald	1.4.1.1	COG0686	Alanine dehydrogenase
AJKAJODB_00233	CDS	678				hypothetical protein
AJKAJODB_00234	CDS	210	mbtH		COG3251	Protein MbtH
AJKAJODB_00235	CDS	7137	dhbF		COG1020	Dimodular nonribosomal peptide synthase
AJKAJODB_00236	CDS	939	dhbB	3.3.2.1	COG1535	Isochorismatase
AJKAJODB_00237	CDS	1620	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
AJKAJODB_00238	CDS	1197	dhbC	5.4.4.2	COG1169	Isochorismate synthase DhbC
AJKAJODB_00239	CDS	786	dhbA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
AJKAJODB_00240	CDS	870	besA	3.1.-.-	COG2819	Ferri-bacillibactin esterase BesA
AJKAJODB_00241	CDS	597	yedY1		COG2041	Putative protein-methionine-sulfoxide reductase subunit YedZ1
AJKAJODB_00242	CDS	603	bioY_1		COG1268	Biotin transporter BioY
AJKAJODB_00243	CDS	1329				hypothetical protein
AJKAJODB_00244	CDS	1503	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
AJKAJODB_00245	CDS	477				hypothetical protein
AJKAJODB_00246	CDS	657	yuiC		COG3584	putative protein YuiC
AJKAJODB_00247	CDS	321				hypothetical protein
AJKAJODB_00248	CDS	1221		1.6.99.-	COG1252	NADH dehydrogenase-like protein
AJKAJODB_00249	CDS	999	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
AJKAJODB_00250	CDS	141				hypothetical protein
AJKAJODB_00251	CDS	981	guaC	1.7.1.7	COG0516	GMP reductase
AJKAJODB_00252	CDS	624	paiB		COG2808	Protease synthase and sporulation protein PAI 2
AJKAJODB_00253	CDS	507	paiA	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
AJKAJODB_00254	CDS	453				hypothetical protein
AJKAJODB_00255	CDS	3114				hypothetical protein
AJKAJODB_00256	CDS	333				hypothetical protein
AJKAJODB_00257	CDS	627				hypothetical protein
AJKAJODB_00258	CDS	486				hypothetical protein
AJKAJODB_00259	CDS	351				hypothetical protein
AJKAJODB_00260	CDS	375				hypothetical protein
AJKAJODB_00261	CDS	201				hypothetical protein
AJKAJODB_00262	CDS	219				hypothetical protein
AJKAJODB_00263	CDS	933				hypothetical protein
AJKAJODB_00264	CDS	234				hypothetical protein
AJKAJODB_00265	CDS	186				hypothetical protein
AJKAJODB_00266	CDS	327				hypothetical protein
AJKAJODB_00267	CDS	543				hypothetical protein
AJKAJODB_00268	CDS	138				hypothetical protein
AJKAJODB_00269	CDS	1176				hypothetical protein
AJKAJODB_00270	CDS	885				hypothetical protein
AJKAJODB_00271	CDS	354				hypothetical protein
AJKAJODB_00272	CDS	438	perR		COG0735	Peroxide operon regulator
AJKAJODB_00273	CDS	474	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
AJKAJODB_00274	CDS	1290	hemL1	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase 1
AJKAJODB_00275	CDS	1110				hypothetical protein
AJKAJODB_00276	CDS	1743		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
AJKAJODB_00277	CDS	531				hypothetical protein
AJKAJODB_00278	CDS	261				hypothetical protein
AJKAJODB_00279	CDS	255	sspE			Small, acid-soluble spore protein gamma-type
AJKAJODB_00280	CDS	753	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
AJKAJODB_00281	CDS	225	yfhS			putative protein YfhS
AJKAJODB_00282	CDS	1314	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
AJKAJODB_00283	CDS	984	yfhP		COG1988	putative protein YfhP
AJKAJODB_00284	CDS	2586				hypothetical protein
AJKAJODB_00285	CDS	990	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
AJKAJODB_00286	CDS	861	ephA	3.3.2.10		Epoxide hydrolase A
AJKAJODB_00287	CDS	393				hypothetical protein
AJKAJODB_00288	CDS	519				hypothetical protein
AJKAJODB_00289	CDS	270				hypothetical protein
AJKAJODB_00290	CDS	153	sspK			Small, acid-soluble spore protein K
AJKAJODB_00291	CDS	1194	ydhP_2		COG2814	Inner membrane transport protein YdhP
AJKAJODB_00292	CDS	105				hypothetical protein
AJKAJODB_00293	CDS	315	yfhH			putative protein YfhH
AJKAJODB_00294	CDS	795	recX			Regulatory protein RecX
AJKAJODB_00295	CDS	912				Epimerase family protein
AJKAJODB_00296	CDS	111				hypothetical protein
AJKAJODB_00297	CDS	192				hypothetical protein
AJKAJODB_00298	CDS	585	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
AJKAJODB_00299	CDS	882	yddE	5.1.-.-	COG0384	putative isomerase YddE
AJKAJODB_00300	CDS	1032	yfhA		COG0609	putative siderophore transport system permease protein YfhA
AJKAJODB_00301	CDS	1002	yfiZ		COG0609	putative siderophore transport system permease protein YfiZ
AJKAJODB_00302	CDS	978	yfiY		COG0614	putative siderophore-binding lipoprotein YfiY
AJKAJODB_00303	CDS	2571	mprF	2.3.2.3		Phosphatidylglycerol lysyltransferase
AJKAJODB_00304	CDS	483				hypothetical protein
AJKAJODB_00305	CDS	948	bmr3_1			Multidrug resistance protein 3
AJKAJODB_00306	CDS	615				hypothetical protein
AJKAJODB_00307	CDS	537	yfiT	3.-.-.-		Putative metal-dependent hydrolase YfiT
AJKAJODB_00308	CDS	1254	mdtG_1			Multidrug resistance protein MdtG
AJKAJODB_00309	CDS	618	yfiR			putative HTH-type transcriptional regulator YfiR
AJKAJODB_00310	CDS	1089				hypothetical protein
AJKAJODB_00311	CDS	633	estB	3.1.1.3		Extracellular esterase EstB
AJKAJODB_00312	CDS	549				hypothetical protein
AJKAJODB_00313	CDS	1158	lnrN		COG0842	Linearmycin resistance permease protein LnrN
AJKAJODB_00314	CDS	1191	lnrM		COG0842	Linearmycin resistance permease protein LnrM
AJKAJODB_00315	CDS	936	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
AJKAJODB_00316	CDS	663	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
AJKAJODB_00317	CDS	1152	lnrJ	2.7.13.3		Sensor histidine kinase LnrJ
AJKAJODB_00318	CDS	117				hypothetical protein
AJKAJODB_00319	CDS	1005	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
AJKAJODB_00320	CDS	177				hypothetical protein
AJKAJODB_00321	CDS	942				hypothetical protein
AJKAJODB_00322	CDS	1449	iolT_1			Major myo-inositol transporter IolT
AJKAJODB_00323	CDS	945	rhaR_1			HTH-type transcriptional activator RhaR
AJKAJODB_00324	CDS	858	catE	1.13.11.2	COG2514	Catechol-2,3-dioxygenase
AJKAJODB_00325	CDS	405	catD	1.-.-.-	COG2259	Putative oxidoreductase CatD
AJKAJODB_00326	CDS	1815			COG1132	putative ABC transporter ATP-binding protein
AJKAJODB_00327	CDS	1722			COG1132	putative ABC transporter ATP-binding protein
AJKAJODB_00328	CDS	2334				hypothetical protein
AJKAJODB_00329	CDS	1584	malP_1		COG1263	PTS system maltose-specific EIICB component
AJKAJODB_00330	CDS	765	glvR		COG1737	HTH-type transcriptional regulator GlvR
AJKAJODB_00331	CDS	1350	glvA	3.2.1.122	COG1486	Maltose-6'-phosphate glucosidase
AJKAJODB_00332	CDS	315				hypothetical protein
AJKAJODB_00333	CDS	1224				hypothetical protein
AJKAJODB_00334	CDS	768				hypothetical protein
AJKAJODB_00335	CDS	558				hypothetical protein
AJKAJODB_00336	CDS	543				hypothetical protein
AJKAJODB_00337	CDS	327				hypothetical protein
AJKAJODB_00338	CDS	180	sspH			Small, acid-soluble spore protein H
AJKAJODB_00339	CDS	1818	acoR		COG3284	Acetoin dehydrogenase operon transcriptional activator AcoR
AJKAJODB_00340	CDS	1377	pdhD_1	1.8.1.4		Dihydrolipoyl dehydrogenase
AJKAJODB_00341	CDS	1197	pdhC_1	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
AJKAJODB_00342	CDS	1029	acoB	1.1.1.-	COG0022	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta
AJKAJODB_00343	CDS	1002	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
AJKAJODB_00344	CDS	690				hypothetical protein
AJKAJODB_00345	CDS	453				hypothetical protein
AJKAJODB_00346	CDS	978	dus	1.3.1.-		putative tRNA-dihydrouridine synthase
AJKAJODB_00347	CDS	285				hypothetical protein
AJKAJODB_00348	CDS	1401	rlmCD_1	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
AJKAJODB_00349	CDS	864				hypothetical protein
AJKAJODB_00350	CDS	960	corA_1		COG0598	Cobalt/magnesium transport protein CorA
AJKAJODB_00351	CDS	861	mmsB	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
AJKAJODB_00352	CDS	792	pdaA	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA
AJKAJODB_00353	CDS	186				hypothetical protein
