locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBHGPHIL_00243	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
MBHGPHIL_00244	CDS	495	iscR		COG1959	HTH-type transcriptional regulator IscR
MBHGPHIL_00245	CDS	732	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
MBHGPHIL_00246	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
MBHGPHIL_00247	CDS	879			COG1073	putative protein
MBHGPHIL_00248	CDS	1044	asrA		COG1145	Anaerobic sulfite reductase subunit A
MBHGPHIL_00249	CDS	819	asrB		COG0543	Anaerobic sulfite reductase subunit B
MBHGPHIL_00250	CDS	1014	asrC	1.8.1.-	COG2221	Anaerobic sulfite reductase subunit C
MBHGPHIL_00251	CDS	987				hypothetical protein
MBHGPHIL_00252	CDS	639				hypothetical protein
MBHGPHIL_00253	CDS	1278				hypothetical protein
MBHGPHIL_00254	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
MBHGPHIL_00255	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
MBHGPHIL_00256	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
MBHGPHIL_00257	CDS	1545	cadC		COG3710	Transcriptional activator CadC
MBHGPHIL_00258	CDS	1332	cadB		COG0531	putative cadaverine/lysine antiporter
MBHGPHIL_00259	CDS	2145	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
MBHGPHIL_00260	CDS	1461	dtpC		COG3104	Dipeptide and tripeptide permease C
MBHGPHIL_00261	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
MBHGPHIL_00262	CDS	1338	qseF		COG2204	Transcriptional regulatory protein QseF
MBHGPHIL_00263	CDS	765	qseG			Quorum-sensing regulator protein G
MBHGPHIL_00264	CDS	1386	qseE	2.7.13.3		Sensor histidine kinase QseE
MBHGPHIL_00265	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
MBHGPHIL_00266	CDS	1545	mltF_1	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
MBHGPHIL_00267	CDS	519	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
MBHGPHIL_00268	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
MBHGPHIL_00269	CDS	1362				PTS system EIIBC component
MBHGPHIL_00270	CDS	894	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
MBHGPHIL_00271	CDS	849	murR		COG1737	HTH-type transcriptional regulator MurR
MBHGPHIL_00272	CDS	918	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
MBHGPHIL_00273	CDS	1197				L-lactate transporter
MBHGPHIL_00274	CDS	927	hdfR_2			HTH-type transcriptional regulator HdfR
MBHGPHIL_00275	CDS	261	yfhL		COG1145	Ferredoxin YfhL
MBHGPHIL_00276	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
MBHGPHIL_00277	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
MBHGPHIL_00278	CDS	729	recO		COG1381	DNA repair protein RecO
MBHGPHIL_00279	CDS	906	era		COG1159	GTPase Era
MBHGPHIL_00280	CDS	738	rnc	3.1.26.3	COG0571	Ribonuclease 3
MBHGPHIL_00281	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
MBHGPHIL_00282	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
MBHGPHIL_00283	CDS	1470				hypothetical protein
MBHGPHIL_00284	CDS	474	sarA			Salmonella anti-inflammatory response activator
MBHGPHIL_00285	CDS	186				hypothetical protein
MBHGPHIL_00286	CDS	705	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
MBHGPHIL_00287	CDS	1428	hsrA			putative transport protein HsrA
MBHGPHIL_00288	CDS	990	rbsR		COG1609	Ribose operon repressor
MBHGPHIL_00289	CDS	930	rbsK_1	2.7.1.15	COG0524	Ribokinase
MBHGPHIL_00290	CDS	891	rbsB		COG1879	Ribose import binding protein RbsB
MBHGPHIL_00291	CDS	966	rbsC		COG1172	Ribose import permease protein RbsC
MBHGPHIL_00292	CDS	1506	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
MBHGPHIL_00293	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
MBHGPHIL_00294	CDS	1869	kup			Low affinity potassium transport system protein kup
MBHGPHIL_00295	CDS	1497	ravA	3.6.3.-	COG0714	ATPase RavA
MBHGPHIL_00296	CDS	1452	viaA		COG2425	Protein ViaA
MBHGPHIL_00297	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
MBHGPHIL_00298	CDS	459	asnC		COG1522	Regulatory protein AsnC
MBHGPHIL_00299	CDS	444	mioC		COG0716	Protein MioC
MBHGPHIL_00300	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
MBHGPHIL_00301	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
MBHGPHIL_00302	CDS	381	atpI		COG3312	ATP synthase protein I
MBHGPHIL_00303	CDS	816	atpB		COG0356	ATP synthase subunit a
MBHGPHIL_00304	CDS	240	atpE		COG0636	ATP synthase subunit c
MBHGPHIL_00305	CDS	471	atpF		COG0711	ATP synthase subunit b
MBHGPHIL_00306	CDS	534	atpH		COG0712	ATP synthase subunit delta
MBHGPHIL_00307	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
MBHGPHIL_00308	CDS	864	atpG		COG0224	ATP synthase gamma chain
MBHGPHIL_00309	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
MBHGPHIL_00310	CDS	420	atpC		COG0355	ATP synthase epsilon chain
MBHGPHIL_00311	CDS	699				hypothetical protein
MBHGPHIL_00312	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
MBHGPHIL_00313	CDS	1830	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
MBHGPHIL_00314	CDS	1791	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
MBHGPHIL_00315	CDS	819	sdhL	1.1.1.25	COG0169	Shikimate dehydrogenase-like protein
MBHGPHIL_00316	CDS	1374	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
MBHGPHIL_00317	CDS	102				hypothetical protein
MBHGPHIL_00318	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
MBHGPHIL_00319	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
MBHGPHIL_00320	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
MBHGPHIL_00321	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
MBHGPHIL_00322	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
MBHGPHIL_00323	CDS	648	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
MBHGPHIL_00324	CDS	1338	adeP		COG2252	Adenine permease AdeP
MBHGPHIL_00325	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
MBHGPHIL_00326	CDS	756				hypothetical protein
MBHGPHIL_00327	CDS	960	yidZ_1			HTH-type transcriptional regulator YidZ
MBHGPHIL_00328	CDS	1188	mdtL			Multidrug resistance protein MdtL
MBHGPHIL_00329	CDS	162				hypothetical protein
MBHGPHIL_00330	CDS	936				hypothetical protein
MBHGPHIL_00331	CDS	963				hypothetical protein
MBHGPHIL_00332	CDS	708	intA_1		COG0582	Prophage integrase IntA
MBHGPHIL_00333	CDS	495	intA_2		COG0582	Prophage integrase IntA
MBHGPHIL_00334	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
MBHGPHIL_00335	CDS	1647	yidC			Membrane protein insertase YidC
MBHGPHIL_00336	CDS	198				hypothetical protein
